0 (256, 0) 38067498 0.6813 48748193200.12799
6 (256, 262144) 61868808 0.7438 11969126358.403
42 (256, 524288) 63892061 0.8063 3390092896.803
78 (256, 786432) 63198050 0.8688 2924707181.6029997
84 (256, 1048576) 63185746 0.9313 2615990432.8029995
85 (256, 1310720) 63213801 0.9938 2557070206.403
294 (512, 786432) 33227695 1.235833 2333403552.803
300 (512, 1048576) 33215379 1.298333 2106777607.2029998
301 (512, 1310720) 33235689 1.360833 2049096369.6030004
336 (512, 1572864) 33075347 1.423333 1967031687.203
337 (512, 1835008) 33091933 1.485833 1909350449.6030004
342 (512, 2097152) 33030019 1.548333 1882778400.8030002
690 (512, 524288) 31946085 1.173333 3390098844.0030003
942 (1024, 786432) 16613939 1.969899 2333409500.0030003
984 (1024, 1572864) 16537751 2.157399 1967037634.403
1590 (1536, 786432) 11608013 2.703965 2324895930.778
1596 (1536, 1048576) 11604700 2.766465 2106298145.1780002
1597 (1536, 1310720) 11622595 2.828965 2049491777.5780003
1632 (1536, 1572864) 11556564 2.891465 1966552225.1780002
1633 (1536, 1835008) 11570735 2.953965 1909745857.578
1638 (1536, 2097152) 11547936 3.016465 1882298938.778
1699 (1536, 2621440) 11555520 3.141465 1874373715.9030004
1705 (1536, 2883584) 11546704 3.203965 1872288215.178
1710 (1536, 3145728) 11541228 3.266465 1862862262.778
1716 (1536, 3670016) 11527242 3.391465 1862862262.778
1986 (384, 524288) 46166228 0.9898165000000001 3543035361.5779996
1992 (384, 786432) 46938818 1.0523165 2831074889.0280004
2028 (384, 1048576) 45702595 1.1148165 2603003944.953
2238 (768, 786432) 24002986 1.6028660000000001 2425772892.4030004
2244 (768, 1048576) 23982787 1.6653660000000001 2070761839.378
2245 (768, 1310720) 23987376 1.7278660000000001 2004549390.5779996
2280 (768, 1572864) 23906115 1.7903660000000001 1931010802.3279998
2281 (768, 1835008) 23910938 1.8528660000000001 1863508840.7029996
2286 (768, 2097152) 23872202 1.9153660000000001 1844814475.928
4183 (1024, 1048576) 16846574 2.032399 2048332073.5279994
4189 (1024, 1310720) 16756598 2.094899 1954813455.9279995
4200 (1024, 2097152) 16679451 2.282399 1830783279.3279998
4225 (1024, 1835008) 16799710 2.219899 1828583260.7279997
4231 (1024, 2359296) 16770499 2.344899 1807712924.7279997
4236 (1024, 2621440) 16720280 2.407399 1799163157.728
4297 (1024, 2883584) 16759851 2.469899 1791125618.3279998
4303 (1024, 3407872) 16743120 2.594899 1788276248.7279997
4308 (1024, 3670016) 16700965 2.657399 1779726481.7279997
4795 (2048, 786432) 8587973 3.438031 2319157455.9280005
4831 (2048, 1048576) 8430818 3.500531 2049035164.7279997
4837 (2048, 1310720) 8388586 3.563031 1955072489.5279996
4848 (2048, 2097152) 8373663 3.750531 1830783279.3279998
4873 (2048, 1835008) 8409554 3.688031 1828842294.3279998
4879 (2048, 2359296) 8398679 3.813031 1808379011.1279998
4884 (2048, 2621440) 8380252 3.875531 1799163157.728
4945 (2048, 2883584) 8386267 3.938031 1791384651.928
4951 (2048, 3407872) 8380960 4.0630310000000005 1788942335.1279998
4956 (2048, 3670016) 8370597 4.1255310000000005 1779726481.7279997
5443 (3072, 786432) 6011456 4.906163 2290186641.1280003
5479 (3072, 1048576) 5902276 4.968663 2050116505.828
5485 (3072, 1310720) 5877543 5.031163 1956005811.4279997
5486 (3072, 1572864) 5886615 5.093663 1946612611.4529996
5496 (3072, 2097152) 5882824 5.218663 1830164770.528
5521 (3072, 1835008) 5891591 5.156163 1829775616.2279997
5527 (3072, 2359296) 5887486 5.281163 1809583747.603
5532 (3072, 2621440) 5880492 5.343663 1798544648.928
5593 (3072, 2883584) 5873544 5.406163 1792317973.8279998
5599 (3072, 3407872) 5872714 5.531163 1790147071.603
5604 (3072, 3670016) 5873784 5.593663 1779107972.9280002
5695 (4608, 1048576) 5079042 7.170861 1961129858.628
5701 (4608, 1310720) 5074096 7.233361 1905228944.5279996
5731 (4608, 1572864) 5061558 7.295861 1890887431.3279998
5737 (4608, 1835008) 5041212 7.358361 1762472076.0279999
5743 (4608, 2359296) 5042944 7.483361 1748179552.303
5748 (4608, 2621440) 5048626 7.545861 1742640747.7280002
5809 (4608, 2883584) 5040452 7.608361 1737306994.0279996
5815 (4608, 3407872) 5043692 7.733361 1735171973.103
5820 (4608, 3670016) 5049086 7.795861 1729920218.9280002

0 (256, 0) 38067498 0.6813
125 (384, 0) 34345275 0.8648165000000001
250 (512, 0) 23666294 1.048333
650 (768, 262144) 19950917 1.6653660000000001
1125 (320, 0) 38011631 0.7730582500000001
1250 (480, 0) 33835346 1.002453875
1375 (640, 0) 23210629 1.2318495
1755 (960, 262144) 18852997 1.94064075
2130 (1280, 262144) 13879244 2.399432
2500 (768, 0) 22830221 1.4153660000000001
3625 (896, 0) 22456075 1.5988825
4130 (896, 262144) 19526815 1.8488825
4380 (1792, 262144) 10272621 3.133498
4750 (1024, 0) 19699831 1.782399
5130 (1536, 262144) 11082353 2.766465
5255 (1024, 262144) 15474350 2.032399
5505 (2048, 262144) 8164786 3.500531
